company_code,company_name,date,opening,high,low,closing,trade Volume,Return
22859,ASIAN PAINTS LTD.,03-01-2005 00:00,320.1000,325.0000,318.6000,319.1000,17273,-0.003124024
22859,ASIAN PAINTS LTD.,04-01-2005 00:00,322.0000,324.9000,320.0000,324.0500,32240,0.00636646
22859,ASIAN PAINTS LTD.,05-01-2005 00:00,324.0500,324.9500,320.0000,321.8500,30500,-0.006789076
22859,ASIAN PAINTS LTD.,06-01-2005 00:00,327.0000,327.0000,302.5500,309.4500,38985,-0.053669725
22859,ASIAN PAINTS LTD.,07-01-2005 00:00,310.0000,322.0000,309.1000,320.0500,17621,0.032419355
22859,ASIAN PAINTS LTD.,10-01-2005 00:00,323.0000,324.0000,317.0500,321.8000,17363,-0.00371517
22859,ASIAN PAINTS LTD.,11-01-2005 00:00,318.1000,321.9500,318.0500,320.3000,24322,0.006916064
22859,ASIAN PAINTS LTD.,12-01-2005 00:00,320.0000,320.0000,312.0000,316.9000,14280,-0.0096875
22859,ASIAN PAINTS LTD.,13-01-2005 00:00,307.0000,318.8000,307.0000,316.6500,19368,0.031433225
22859,ASIAN PAINTS LTD.,14-01-2005 00:00,315.0000,320.5000,310.1000,319.4000,8936,0.013968254
22859,ASIAN PAINTS LTD.,17-01-2005 00:00,314.3000,320.0000,314.3000,318.8500,9072,0.014476615
22859,ASIAN PAINTS LTD.,18-01-2005 00:00,313.1000,320.0000,313.0000,318.1500,43017,0.016129032
22859,ASIAN PAINTS LTD.,19-01-2005 00:00,318.0000,325.0000,316.0000,320.8000,70148,0.008805031
22859,ASIAN PAINTS LTD.,20-01-2005 00:00,325.0000,329.9000,321.1000,323.5000,28940,-0.004615385
22859,ASIAN PAINTS LTD.,24-01-2005 00:00,325.0000,337.0000,323.0500,329.4500,35204,0.013692308
22859,ASIAN PAINTS LTD.,25-01-2005 00:00,333.9000,336.9000,328.5000,335.4500,29267,0.004642108
22859,ASIAN PAINTS LTD.,27-01-2005 00:00,336.9000,350.0000,336.0000,347.7000,45060,0.03205699
22859,ASIAN PAINTS LTD.,28-01-2005 00:00,350.0000,351.9000,347.0000,348.1000,40403,-0.005428571
22859,ASIAN PAINTS LTD.,31-01-2005 00:00,354.0000,360.0000,339.5000,359.8500,56233,0.016525424
22859,ASIAN PAINTS LTD.,01-02-2005 00:00,365.0000,369.0000,350.1000,355.3000,20122,-0.026575342
22859,ASIAN PAINTS LTD.,02-02-2005 00:00,330.1000,359.9000,330.1000,348.9500,14424,0.057103908
22859,ASIAN PAINTS LTD.,03-02-2005 00:00,359.9500,359.9500,345.0000,346.8500,9236,-0.036393944
22859,ASIAN PAINTS LTD.,04-02-2005 00:00,349.0000,351.0000,340.7500,345.2500,18312,-0.010744986
22859,ASIAN PAINTS LTD.,07-02-2005 00:00,358.8000,358.8000,346.5000,347.4000,19969,-0.031772575
22859,ASIAN PAINTS LTD.,08-02-2005 00:00,347.5000,353.0000,341.3500,351.5500,22301,0.011654676
22859,ASIAN PAINTS LTD.,09-02-2005 00:00,352.5000,358.8000,350.0500,355.2000,65699,0.007659574
22859,ASIAN PAINTS LTD.,10-02-2005 00:00,358.4000,358.4000,354.0000,355.4000,9222,-0.008370536
22859,ASIAN PAINTS LTD.,11-02-2005 00:00,355.5000,360.0000,355.0000,358.7500,16595,0.009142053
22859,ASIAN PAINTS LTD.,14-02-2005 00:00,345.0000,362.4000,345.0000,360.0500,32456,0.043623188
22859,ASIAN PAINTS LTD.,15-02-2005 00:00,360.0000,361.6500,359.8000,360.6500,22319,0.001805556
22859,ASIAN PAINTS LTD.,16-02-2005 00:00,361.6500,362.9000,360.0000,360.0000,16819,-0.004562422
22859,ASIAN PAINTS LTD.,17-02-2005 00:00,362.0000,362.0000,358.6500,360.0500,7924,-0.00538674
22859,ASIAN PAINTS LTD.,18-02-2005 00:00,360.4500,362.8000,360.0000,360.8500,15415,0.001109724
22859,ASIAN PAINTS LTD.,21-02-2005 00:00,360.1000,360.4500,341.0000,350.9000,17622,-0.025548459
22859,ASIAN PAINTS LTD.,22-02-2005 00:00,357.7500,363.0000,345.0000,360.2500,27359,0.00698812
22859,ASIAN PAINTS LTD.,23-02-2005 00:00,360.0000,360.4500,354.1500,357.3500,5618,-0.007361111
22859,ASIAN PAINTS LTD.,24-02-2005 00:00,357.9000,361.0000,350.0000,356.8500,22271,-0.00293378
22859,ASIAN PAINTS LTD.,25-02-2005 00:00,353.2000,358.0000,353.2000,355.5500,12936,0.006653454
22859,ASIAN PAINTS LTD.,28-02-2005 00:00,346.0000,359.8500,346.0000,355.4500,21236,0.027312139
22859,ASIAN PAINTS LTD.,01-03-2005 00:00,356.0000,359.7000,353.4000,358.8500,4659,0.008005618
22859,ASIAN PAINTS LTD.,02-03-2005 00:00,355.1000,362.9000,355.1000,362.1500,15451,0.019853562
22859,ASIAN PAINTS LTD.,03-03-2005 00:00,362.0000,362.0000,358.5000,360.0500,17542,-0.00538674
22859,ASIAN PAINTS LTD.,04-03-2005 00:00,359.0000,360.0000,352.8000,353.4500,7046,-0.01545961
22859,ASIAN PAINTS LTD.,07-03-2005 00:00,353.4500,359.9000,351.0000,353.0500,15760,-0.001131702
22859,ASIAN PAINTS LTD.,08-03-2005 00:00,354.0000,365.5000,354.0000,363.2500,14589,0.026129944
22859,ASIAN PAINTS LTD.,09-03-2005 00:00,360.0000,365.0000,355.1000,358.1000,23444,-0.005277778
22859,ASIAN PAINTS LTD.,10-03-2005 00:00,356.0000,361.0000,356.0000,359.0500,50258,0.008567416
22859,ASIAN PAINTS LTD.,11-03-2005 00:00,362.0000,378.9500,351.0000,357.1500,11410,-0.01339779
22859,ASIAN PAINTS LTD.,14-03-2005 00:00,363.0000,366.0000,358.0000,362.6500,28970,-0.000964187
22859,ASIAN PAINTS LTD.,15-03-2005 00:00,365.0000,376.0000,363.0000,373.3500,58107,0.022876712
22859,ASIAN PAINTS LTD.,16-03-2005 00:00,373.0000,378.3500,373.0000,376.0000,20243,0.008042895
